保険者番号,独自サービス種類コード,独自サービス項目コード,適用開始年月,適用終了年月,独自サービス名称,単位数,算定単位,制限日数回数,算定回数制限期間,支給限度額対象区分,予備項目,給付率,利用者負担額,事業対象者実施区分,要支援１受給者実施区分,要支援２受給者実施区分,要介護１受給者実施区分,要介護２受給者実施区分,要介護３受給者実施区分,要介護４受給者実施区分,要介護５受給者実施区分,国保連合会委託区分,作成年月日
122374,A6,C213,202404,999999,通所型独自高齢者虐待防止措置未実施減算１２,-36,3,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,C214,202404,999999,通所型独自高齢者虐待防止措置未実施減算１２日割,-1,2,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,C215,202404,999999,通所型独自高齢者虐待防止措置未実施減算２１,-4,1,,,3,,,,2,2,1,,,,,,1,20240401
122374,A6,C216,202404,999999,通所型独自高齢者虐待防止措置未実施減算２２,-4,1,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,D211,202404,999999,通所型独自業務継続計画未策定減算１１,-18,3,,,3,,,,2,2,1,,,,,,1,20240401
122374,A6,D212,202404,999999,通所型独自業務継続計画未策定減算１１日割,-1,2,,,3,,,,2,2,1,,,,,,1,20240401
122374,A6,D223,202404,999999,通所型独自業務継続計画未策定減算/２１２,-18,3,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,D224,202404,999999,通所型独自業務継続計画未策定減算/２１２日割,-1,2,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,D213,202404,999999,通所型独自業務継続計画未策定減算１２,-36,3,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,D214,202404,999999,通所型独自業務継続計画未策定減算１２日割,-1,2,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,D215,202404,999999,通所型独自業務継続計画未策定減算２１,-4,1,,,3,,,,2,2,1,,,,,,1,20240401
122374,A6,D216,202404,999999,通所型独自業務継続計画未策定減算２２,-4,1,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,8110,201602,999999,通所型独自サービス中山間地域等提供加算,5,3,,,,,,,2,2,2,,,,,,1,20160201
122374,A6,8111,201602,999999,通所型独自サービス中山間地域等加算日割,5,2,,,,,,,2,2,2,,,,,,1,20160201
122374,A6,6105,202104,999999,通所型独自サービス同一建物減算１,-376,3,,,,,,,2,2,1,,,,,,1,20210401
122374,A6,6105,201602,202103,通所型独自サービス同一建物減算１,-376,3,,,3,,,,2,2,2,,,,,,1,20160201
122374,A6,6106,202404,999999,通所型独自サービス同一建物減算２,-752,3,,,,,,,1,1,2,,,,,,1,20210401
122374,A6,6126,202104,999999,通所型独自サービス同一建物減算/２２,-376,3,,,,,,,1,1,2,,,,,,1,20210401
